"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
58,64,0.657303890951538,0.0135793836648444,0.630955490188061,0.635128416704613,0.679798339298171,0.657210380172792,0.679798339298171,0.679798339298171,0.684183702901879
59,65,0.691649422733706,0.0142980920962591,0.663906675540074,0.668300388726886,0.715334528217276,0.691550899670409,0.715334528217276,0.715334528217276,0.719952065356939
60,66,0.694362215240537,0.0148342260009376,0.665588988455401,0.670143579935873,0.718941183939505,0.694256579544215,0.718941183939505,0.718941183939505,0.723735757523994
61,67,0.656892694989421,0.0149914561210861,0.627835362288058,0.632429977316981,0.681744415258656,0.656778654639305,0.681744415258656,0.681744415258656,0.686598105340911
62,68,0.590593217937785,0.0147648304484446,0.562005866789778,0.56651888702882,0.615087235658759,0.590470182242134,0.615087235658759,0.615087235658759,0.619879765286126
63,69,0.671280641770898,0.016382447135914,0.639551977884037,0.644563118962726,0.698452745252497,0.671147376544734,0.698452745252497,0.698452745252497,0.703766635259784
64,70,0.683295485248148,0.0172889268359805,0.649826026545982,0.655108590474436,0.711979755092747,0.683149674416675,0.711979755092747,0.711979755092747,0.717593568189729
65,71,0.888707303104167,0.020611948761155,0.84876330757047,0.855077614132182,0.922880540517454,0.888547955969819,0.922880540517454,0.922880540517454,0.929556849120304
66,72,1.04508417613614,0.0232298292716328,1.00004556203622,1.0071703014283,1.08358513544539,1.04491206586402,1.08358513544539,1.08358513544539,1.09110087262842
67,73,1.23322971651429,0.0258158340768966,1.1831453973355,1.19107589502259,1.27599799229337,1.23304958246715,1.27599799229337,1.27599799229337,1.28433771697626
68,74,1.20286281706321,0.0255466085644346,1.15330823944448,1.16115309380382,1.2451894354544,1.20268196746768,1.2451894354544,1.2451894354544,1.25344514217818
69,75,1.20872326559897,0.0252036223483522,1.15982470120545,1.16756791149467,1.25047615059649,1.20854809282824,1.25047615059649,1.25047615059649,1.25861731694977
